date,time,before,after,hours,started_date,started_time,youtube_link,stream_number
2025-06-05,11:46:53,436.53,438.03,1.5,2025-06-05,10:16:53,https://youtube.com/live/xX3pRDscuyU,208
2025-06-03,18:57:59,435.37,436.53,1.1599999999999682,2025-06-03,17:48:23,https://youtube.com/live/KXb86zqQcUc,207
2025-06-03,16:52:56,433.37,435.37,2.0,2025-06-03,14:52:56,https://youtube.com/live/OdmvwIlD-uQ,206
2025-06-02,09:10:48,432.37,433.37,1.0,2025-06-02,08:10:48,https://youtube.com/live/_KsVfbw4n7k,205
2025-06-01,22:40:21,431.12,432.37,1.25,2025-06-01,21:25:21,https://youtube.com/live/COJKXVS-8qg,204
2025-06-01,19:37:54,429.79,431.12,1.329999999999984,2025-06-01,18:18:06,https://youtube.com/live/_hquapWvCis,203
2025-05-29,10:54:05,428.46,429.79,1.330000000000041,2025-05-29,09:34:17,https://youtube.com/live/zMsW3Eco5J0,202
2025-05-28,19:28:07,425.3,428.46,3.159999999999968,2025-05-28,16:18:31,https://youtube.com/live/fS37euae9RM,201
2025-05-28,09:17:33,424.3,425.3,1.0,2025-05-28,08:17:33,https://youtube.com/live/Bt7xI400VBM,200
2025-05-27,22:00:00,422.5,424.3,1.8000000000000114,2025-05-27,20:12:00,https://www.youtube.com/watch?v=YpAnaRS3cSI,199
2025-05-15,18:02:25,421.17,422.5,1.329999999999984,2025-05-15,16:42:37,https://youtube.com/live/6oMotfrLozM,198
2025-05-12,18:56:56,418.17,421.17,3.0,2025-05-12,15:56:56,https://youtube.com/live/z9oiFJa9880,197
2025-05-11,19:37:50,416.17,418.17,2.0,2025-05-11,17:37:50,https://youtube.com/live/CfqcDC3mfSc,196
2025-05-04,16:06:38,414.17,416.17,2.0,2025-05-04,14:06:38,https://youtube.com/live/u1VzsppzhSk,195
2025-05-03,16:28:49,411.67,414.17,2.5,2025-05-03,13:58:49,https://youtube.com/live/dJnIgzaQ56M,194
2025-05-02,11:46:53,409.67,411.67,2.0,2025-05-02,09:46:53,https://youtube.com/live/pquyUJCKVUM,193
2025-04-26,12:07:41,407.92,409.67,1.75,2025-04-26,10:22:41,https://www.youtube.com/watch?v=pFccyKWhqtY,192
2025-04-25,13:52:36,404.92,407.92,3.0,2025-04-25,10:52:36,https://youtube.com/live/d0vEYmpjMmk,191
2025-04-24,22:01:24,401.92,404.92,3.0,2025-04-24,19:01:24,https://youtube.com/live/g1TCG1TeHUI,190
2025-04-22,08:09:26,401.12,401.92,0.8000000000000114,2025-04-22,07:21:26,https://youtube.com/live/_owH2FYjok8,188
2025-04-21,22:20:04,399.12,401.12,2.0,2025-04-21,20:20:04,https://youtube.com/live/Ht_zlKBa1-Q,187
2025-04-20,10:15:00,396.87,399.12,2.25,2025-04-20,08:00:00,https://www.youtube.com/live/OEnzFEaKcaQ,186
2025-04-19,19:47:27,394.62,396.87,2.25,2025-04-19,17:32:27,https://www.youtube.com/live/h5sH9tW8ycY,185
2025-04-18,07:57:31,393.62,394.62,1.0,2025-04-18,06:57:31,https://www.youtube.com/live/VIOxZ-uWYSQ,184
2025-04-17,11:48:00,388.62,393.62,5.0,2025-04-17,06:48:00,https://www.youtube.com/live/93Mcyzc0Zus,183
2025-04-16,11:42:21,384.12,388.62,4.5,2025-04-16,07:12:21,https://www.youtube.com/live/MkxVDL2X76Y,182
2025-04-15,10:39:25,381.02,384.12,3.1000000000000227,2025-04-15,07:33:25,https://www.youtube.com/live/sU_GGO76r_I,181
2025-04-14,12:11:20,377.52,381.02,3.5,2025-04-14,08:41:20,https://www.youtube.com/live/q72pl8P7TXg,180
2025-04-13,12:06:44,373.02,377.52,4.5,2025-04-13,07:36:44,https://www.youtube.com/live/KiT1oymJ9nI,179
2025-04-12,18:28:15,368.02,373.02,5.0,2025-04-12,13:28:15,https://www.youtube.com/live/D_OuQodFi9g,178
2025-04-11,21:40:18,363.77,368.02,4.25,2025-04-11,17:25:18,https://www.youtube.com/live/kmjCT4kvIeA,177
2025-04-09,22:02:12,362.48,363.77,1.2899999999999636,2025-04-09,20:44:48,https://www.youtube.com/live/hEwghGJfwDo,176
2025-04-09,11:39:30,359.48,362.48,3.0,2025-04-09,08:39:30,https://www.youtube.com/live/y9JgdKAXFMw,175
2025-04-08,11:40:36,355.32,359.48,4.160000000000025,2025-04-08,07:31:00,https://www.youtube.com/live/3tXvt7uoRv4,174
2025-04-07,22:10:48,353.65,355.32,1.670000000000016,2025-04-07,20:30:36,https://www.youtube.com/live/2FhSS-dHWOU,173
2025-04-07,16:24:56,351.52,353.65,2.1299999999999955,2025-04-07,14:17:08,https://www.youtube.com/live/-hjE_ZDfVVg,172
2025-04-07,11:59:44,346.94,351.52,4.579999999999984,2025-04-07,07:24:56,https://www.youtube.com/live/04OtHjpbyEw,171
2025-04-04,08:56:51,344.88,346.94,2.0600000000000023,2025-04-04,06:53:15,https://www.youtube.com/live/j2vk4zrrmEc,170
2025-04-03,19:42:43,341.08,344.88,3.8000000000000114,2025-04-03,15:54:43,https://www.youtube.com/live/jYEVSSFalmM,169
2025-04-03,11:53:48,339.08,341.08,2.0,2025-04-03,09:53:48,https://www.youtube.com/live/PhZvaJxxh5E,168
2025-04-02,21:59:58,337.33,339.08,1.75,2025-04-02,20:14:58,https://www.youtube.com/live/qJI-k6Ew02k,167
2025-04-02,18:47:29,334.13,337.33,3.1999999999999886,2025-04-02,15:35:29,https://www.youtube.com/live/qJI-k6Ew02k,166
2025-04-02,10:59:50,330.38,334.13,3.75,2025-04-02,07:14:50,https://www.youtube.com/live/VGsrT2FehUk,165
2025-04-01,18:07:29,327.6,330.38,2.7799999999999727,2025-04-01,15:20:41,https://www.youtube.com/live/4LAspa0FbY4,164
2025-04-01,10:31:51,325.6,327.6,2.0,2025-04-01,08:31:51,https://www.youtube.com/live/1s4It1jPZPs,163
2025-03-31,12:02:36,321.35,325.6,4.25,2025-03-31,07:47:36,https://www.youtube.com/live/jhDsMtmcyDk,162
2025-03-30,22:04:47,319.77,321.35,1.580000000000041,2025-03-30,20:29:59,https://www.youtube.com/live/dfApWCWCVAo,161
2025-03-30,19:21:07,316.34,319.77,3.430000000000007,2025-03-30,15:55:19,https://www.youtube.com/live/1S7ol9wnZ8I,160
2025-03-29,22:01:50,314.59,316.34,1.75,2025-03-29,20:16:50,https://www.youtube.com/live/rCKUbxQnVlA,159
2025-03-29,18:05:07,312.29,314.59,2.2999999999999545,2025-03-29,15:47:07,https://www.youtube.com/live/jhlA8lAOEao,158
2025-03-29,11:57:27,310.09,312.29,2.2000000000000455,2025-03-29,09:45:27,https://www.youtube.com/live/bvWTQisNrC4,157
2025-03-28,22:00:16,308.84,310.09,1.25,2025-03-28,20:45:16,https://www.youtube.com/live/1QpJUDMFcDE,156
2025-03-28,17:15:18,304.84,308.84,4.0,2025-03-28,13:15:18,https://youtube.com/live/-d6-AtUkOGo,155
2025-03-27,22:05:12,303.84,304.84,1.0,2025-03-27,21:05:12,https://youtube.com/live/Y5t74MIzReM,154
2025-03-27,11:53:13,298.84,303.84,5.0,2025-03-27,06:53:13,https://youtube.com/live/yOUlPNIABBE,153
2025-03-26,22:07:29,297.59,298.84,1.25,2025-03-26,20:52:29,https://youtube.com/live/GUrTEua9468,152
2025-03-26,12:08:54,295.84,297.59,1.75,2025-03-26,10:23:54,https://youtube.com/live/rH05tj1J354,151
2025-03-20,14:07:39,293.84,295.84,2.0,2025-03-20,12:07:39,https://www.youtube.com/watch?v=DP6E8x3Znb8,150
2025-03-19,22:02:55,291.34,293.84,2.5,2025-03-19,19:32:55,https://www.youtube.com/watch?v=HedB43HACKw,149
2025-03-19,18:15:10,288.34,291.34,3.0,2025-03-19,15:15:10,https://www.youtube.com/watch?v=Tf2DIrr8ZoI,148
2025-03-19,11:51:22,283.34,288.34,5.0,2025-03-19,06:51:22,https://www.youtube.com/watch?v=wSq1Ygksgps,147
2025-03-18,21:53:46,280.34,283.34,3.0,2025-03-18,18:53:46,https://www.youtube.com/watch?v=_IsAZak3Kck,146
2025-03-18,17:43:21,278.26,280.34,2.079999999999984,2025-03-18,15:38:33,https://www.youtube.com/watch?v=RVD8yp9kQJ4,145
2025-03-18,12:13:12,275.26,278.26,3.0,2025-03-18,09:13:12,https://www.youtube.com/watch?v=b4nFh4aJQMU,144
2025-03-17,22:02:10,272.76,275.26,2.5,2025-03-17,19:32:10,https://www.youtube.com/watch?v=T0bWVWMtK60,143
2025-03-17,11:56:39,269.76,272.76,3.0,2025-03-17,08:56:39,https://www.youtube.com/watch?v=vu-QRzZ7exQ,142
2025-03-16,22:04:00,268.26,269.76,1.5,2025-03-16,20:34:00,https://www.youtube.com/watch?v=JIqffaIJcZE,141
2025-03-14,10:41:54,266.68,268.26,1.579999999999984,2025-03-14,09:07:06,https://youtube.com/live/ljb_h6XyLIE,140
2025-03-11,22:51:33,265.6,266.68,1.079999999999984,2025-03-11,21:46:45,https://youtube.com/live/CbQ_QIoZmYU,139
2025-03-08,23:16:38,263.35,265.6,2.25,2025-03-08,21:01:38,https://youtube.com/live/8xYqW1I5w1k,138
2025-03-08,11:36:00,259.35,263.35,4.0,2025-03-08,07:36:00,https://youtube.com/live/EHKGZlfJ2SI,137
2025-03-07,23:17:20,256.35,259.35,3.0,2025-03-07,20:17:20,https://youtube.com/live/22BliuIM7YE,136
2025-03-07,18:02:08,254.77,256.35,1.5800000000000125,2025-03-07,16:27:20,https://youtube.com/live/RQi0A5F0_Ys,135
2025-03-07,11:43:05,250.77,254.77,4.0,2025-03-07,07:43:05,https://youtube.com/live/-x-fWjAgUco,134 
