date,time,before,after,hours,started_date,started_time,youtube_link,stream_number
2025-10-15,08:28:00,0,0.49,0.49,2025-10-15,07:50:40,https://www.youtube.com/watch?v=IFE_vZemVuY,1
2025-10-16,00:10:00,1.07,1.49,0.58,2025-10-15,23:35:40,https://www.youtube.com/watch?v=_Iv5N0lbKD8,2
2025-10-17,23:29:00,1.49,2.08,0.59,2025-10-17,22:55:40,https://www.youtube.com/watch?v=1AGu1mqBkSU,3
2025-10-18,17:41:00,2.08,3.5,1.42,2025-10-18,15:44:40,https://www.youtube.com/watch?v=cwchzHZoCb0&t,4
2025-10-19,13:50:00,3.5,4.55,1.05,2025-10-19,12:48:40,https://www.youtube.com/watch?v=tRwoKC0gAy8,5
2025-10-23,02:54:00,4.55,5.3,0.75,2025-10-23,02:00:54,https://www.youtube.com/watch?v=NIgMRSVRlRs,6
2025-10-26,16:10:10,5.3,6.06,0.76,2025-10-26,15:24:44,https://www.youtube.com/watch?v=BMZHGxDoO90,7
2025-10-26,19:31:12,6.06,7.28,1.22,2025-10-26,18:18:13,https://www.youtube.com/watch?v=oXyW-Pba5RQ,8
2025-10-28,00:19:34,7.28,8.25,0.97,2025-10-27,23:21:09,https://www.youtube.com/watch?v=gFWARfqcBEk,9
2025-10-29,00:36:34,8.25,8.78,0.53,2025-10-29,00:05:04,https://www.youtube.com/watch?v=FP9gg8MsXSY,10
2025-10-30,23:22:19,8.78,10.24,1.46,2025-10-30,21:54:50,https://www.youtube.com/watch?v=t37Lra_J1Mg,11
